rpt_rec_num,"Provider CCN","Hospital Name","Street Address",City,"State Code","Zip Code",County,"Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Total Days Title V + Total for all Subproviders","Total Days Title XVIII + Total for all Subproviders","Total Days Title XIX + Total for all Subproviders","Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders","Number of Beds + Total for all Subproviders","Total Bed Days Available + Total for all Subproviders","Total Discharges Title V + Total for all Subproviders","Total Discharges Title XVIII + Total for all Subproviders","Total Discharges Title XIX + Total for all Subproviders","Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable",Inventory,"Prepaid Expenses","Other Current Assets","Total Current Assets",Land,"Land Improvements",Buildings,"Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets",Investments,"Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG amounts before October 1","DRG amounts after October 1","Outlier payments for discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Gross Revenue","Less Contractual Allowance and discounts on patients' accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone SCHIP","Stand-Alone SCHIP Charges"
711243,134017,"COTTONWOOD CREEK BEHAVIORAL HOSPITAL","2131 S. BONITO WAY",MERIDIAN,ID,83642,"",34980,U,PH,2,4,03/07/2019,12/31/2019,96.23,"","",1267,315,11679,78,23400,"",135,67,1553,"",1267,315,11679,78,23400,"",135,67,1553,"",1267,315,11679,78,23400,"",135,67,1553,"","","","",5562958,7766149,574387,12777935,15182700,451200,15633900,"","","","","","",500,"","",3136930,-494259,76511,73534,"",2793216,"","","",16671336,"",1763056,"","",17731799,"",521299,521299,21046314,388000,309616,"","","",280260,977876,"","","",25700345,25700345,26678221,-5631907,-5631907,21046314,"","","","","","","","",15182700,451200,15633900,5741283,9892617,13329107,-3436490,6,-3436484,"",-3436484,"","","","",""
711264,314012,"HMH CARRIER CLINIC","252 ROUTE 601","BELLE MEAD",NJ,08502,SOMERSET,35084,U,PH,2,2,01/01/2019,12/31/2019,750.1,"","",12624,160,61367,207,75555,"",907,16,5109,"",12624,160,61367,207,75555,"",907,16,5109,"",12624,160,61367,207,75555,"",907,16,5109,"","","","",48299736,29818422,2269298,53791242,117579688,1858860,119438548,"","","","","","",9964547,"","",8109474,"","","","",20580482,3250000,1869905,24746730,"",4584595,2659250,"","",34137861,28752023,3890696,32642719,87361062,7777502,"","",427800,"",11585338,19790640,"",13451800,"",7495678,20947478,40738118,46622944,46622944,87361062,"","","","","","","","",117581987,1856560,119438547,44798141,74640406,78118158,-3477752,19377537,15899785,6378094,9521691,"","","","",""
711282,361308,"UH CONNEAUT MEDICAL CENTER","158 WEST MAIN STREET",CONNEAUT,OH,44030-,ASHTABULA,99936,R,CAH,2,2,01/01/2019,12/31/2019,133.93,"","",1099,11,1853,25,9125,"",272,5,576,"",1099,11,1853,25,9125,"",272,5,576,"",545,11,1005,20,7300,"",272,5,576,453400,2377576,1381132,3345849,9047388,16905091,1452498,23606686,9972366,65625413,75597779,"","","","","","",10724,"","",6590918,-3774544,344748,"","",3106862,15032,133165,18125783,"",740456,13595010,"","",9136938,"",1390811,1390811,13634611,737190,345169,"","","",-2288,1700661,"","","","","",1700661,11933950,11933950,13634611,"","","","","","","","",9972366,67853236,77825602,52545235,25280367,25952479,-672112,252907,-419205,"",-419205,0.312267,3289923,16827393,"",""
711283,361310,"MERCY HEALTH-WILLARD HOSPITAL LLC","1100 NEAL ZICK ROAD",WILLARD,OH,44890-,HURON,99936,R,CAH,2,1,01/01/2019,12/31/2019,112.05,"","",1163,25,1987,20,7300,"",248,5,510,"",1163,25,2027,20,7300,"",248,5,510,"",732,25,1246,20,7300,"",248,5,510,295940,3265249,1507313,2699593,7661420,18833421,146243,21637596,14086074,64390556,78476630,"","","","","","",12838,"","",5051326,-2084345,765780,18424,9211,4092269,1508937,791382,36519649,"","",11206046,"","",28953177,"",13809,13809,33059255,2471476,"","","","",31895,4120596,964260,26233302,"",288612,27486174,31606770,1452485,1452485,33059255,"","","","","","","","",14207150,64586653,78793803,51321831,27471972,26494841,977131,613970,1591101,11315,1579786,0.27572,2068785,13868807,"",""
711285,362036,"REGENCY HOSPITAL OF TOLEDO","5220 ALEXIS RD",SYLVANIA,OH,43560,LUCAS,45780,U,LTCH,2,4,01/01/2019,12/31/2019,136.65,"","",5747,683,13763,45,16425,"",223,22,506,"",5747,683,13763,45,16425,"",223,22,506,"",5747,683,13763,45,16425,"",223,22,506,"","","","",9348063,10858904,839875,20684902,137479273,159190,137638463,"","",9348063,"","","","","","",4057008,"","",29738,208325,4295071,1317790,"",8398724,257902,"",4020119,"","",9021747,"",28480,709269,14026087,1136924,710032,"","","","",1782600,"","","","","",1782600,12243487,12243487,14026087,"","","","","","","","",137479275,"",137479275,113432709,24046566,20206964,3839602,46955,3886557,1811100,2075457,"","","","",""
711298,450236,"CHRISTUS MF - SULPHUR SPRINGS","115 AIRPORT RD","SULPHUR SPRINGS",TX,75482-,HOPKINS,99945,R,STH,1,11,07/01/2019,06/30/2020,359.34,"","",4593,357,11218,56,20496,"",1152,110,3010,"",6082,357,13192,62,22692,"",1290,110,3210,"",3532,173,7969,42,15372,"",1152,110,3010,7543904,11129241,10570705,10657079,21430385,61403978,4245378,82442126,172989770,335181247,508171017,7480824,"",21430385,1419727,"","",62953879,"","",70242335,-63447780,603375,3296249,45405474,158085995,"",198140,1264745,"",1266065,12482181,"","",8533704,"",-8786148,-8786148,157833551,605555,1234809,1500,648120,13316028,14959636,38505310,"",44402714,"","",44402714,82908024,74925527,74925527,157833551,"",2003549,6632957,"",259096,0.12,3152451,"",172994457,335186320,508180777,443996908,64183869,82834363,-18650494,19686443,1035949,-13606325,14642274,0.162233,8475328,43979873,113242,1230426
711299,450237,"SANTA ROSA HEALTHCARE","519 WEST HOUSTON STREET","SAN ANTONIO",TX,78207,BEXAR,41700,U,STH,1,1,07/01/2019,06/30/2020,1696.98,32.99,"",24749,2109,79866,377,137982,"",5926,488,20099,"",24749,2109,80182,377,137982,"",5926,488,20099,"",21274,1128,68063,323,118218,"",5926,488,20099,34939037,55170694,53144709,53407171,130512181,286108348,17580637,413189254,1138741787,1152304397,2291046184,50376141,"",130512181,7993231,"","",531888,"",1428402,165622743,-121501340,15687829,5337799,"",74020149,15368142,4884584,209720994,5236463,42935385,171218086,"","",213333431,1456743,20941381,22398124,309751704,13704288,8024178,-10000,21997,61033515,5596502,88370480,"",-16113399,"",11720394,-4393005,83977475,225774229,225774229,309751704,"",15184430,43668500,"",1408057,0.0957,35956827,2884971,1137212797,1153840682,2291053479,1888451189,402602290,416620529,-14018239,2256953,-11761286,"",-11761286,0.18035,20556981,193061051,199402,2560934
711300,451354,"OLNEY HAMILTON HOSPITAL DISTRICT","901 WEST HAMILTON",OLNEY,TX,76374-0158,YOUNG,99945,R,CAH,2,11,03/01/2019,02/29/2020,102,"","",1876,9,2507,25,9150,"",143,3,243,"",5611,9,16308,25,9150,"",143,3,243,"",508,4,770,25,9150,"",143,3,243,1237431,918342,1737099,2159392,4631580,8751822,1028333,14029692,6846867,21759356,28606223,"","","","","","",2565597,"","",6802290,-4727104,470562,1338009,1451171,14094534,150434,"",7826153,1450047,1511498,7046376,"","",6623028,"","","",20717562,5092683,270074,23561,3539776,"",1743985,10670079,"",4044014,"","",4044014,14714093,6003469,6003469,20717562,"","","","","","","","",6900290,21913447,28813737,20262606,8551131,13383402,-4832271,5633936,801665,1867,799798,0.490442,446131,2601227,201469,516613
711302,461308,"SAN JUAN HEALTH SERVICES DISTRICT","380 WEST 100 NORTH",MONTICELLO,UT,84535,"SAN JUAN",99946,R,CAH,2,11,01/01/2019,12/31/2019,95.62,"","",664,135,1079,21,7665,"",130,30,319,"",9435,1604,27402,21,7665,"",130,30,319,"",371,100,653,20,7300,"",130,30,319,"",559041,368549,368549,7325946,10107063,722896,16456744,7497249,17465458,24962707,"","","","","","",7060822,"","",4795046,-2354224,382395,"","",10587028,500425,415653,7989084,2252710,1223104,8043675,"","",7684181,"",27799,27799,18299008,400482,170348,149865,785213,"","",1505908,"",2441021,"","",2441021,3946929,14352079,14352079,18299008,"","","","","","","","",8136807,18320046,26456853,8608586,17848267,17433009,415258,1868225,2283483,"",2283483,0.659253,1288162,3605357,"",""
711309,521315,"MCHS NORTHLAND","1222 E WOODLAND AVE",BARRON,WI,54812-,BARRON,99952,R,CAH,2,2,01/01/2019,12/31/2019,235.29,"","",3381,349,4971,25,9125,"",509,115,858,"",3381,349,5005,25,9125,"",509,115,858,"",1830,244,2609,25,9125,"",509,115,858,"",1047319,366562,3405282,24492704,16154290,3621642,51614137,19869296,96837262,116706558,"","","","","","",2505,"","",30069804,-19243824,734376,"","",22896959,151890,1393292,32513357,1206619,"",14945175,"","",23224446,52666,2680855,2733521,48854926,786939,477608,"","","",1409408,11615223,"","","",2139790,2139790,13755013,35099913,35099913,48854926,"","","","","","","","",25349566,130920872,156270438,82310582,73959856,68747880,5211976,1002320,6214296,"",6214296,0.442256,3957702,15819847,"",""
