rpt_rec_num,"Provider CCN","Hospital Name","Street Address",City,"State Code","Zip Code",County,"Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Total Days Title V + Total for all Subproviders","Total Days Title XVIII + Total for all Subproviders","Total Days Title XIX + Total for all Subproviders","Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders","Number of Beds + Total for all Subproviders","Total Bed Days Available + Total for all Subproviders","Total Discharges Title V + Total for all Subproviders","Total Discharges Title XVIII + Total for all Subproviders","Total Discharges Title XIX + Total for all Subproviders","Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable",Inventory,"Prepaid Expenses","Other Current Assets","Total Current Assets",Land,"Land Improvements",Buildings,"Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets",Investments,"Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG amounts before October 1","DRG amounts after October 1","Outlier payments for discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Gross Revenue","Less Contractual Allowance and discounts on patients' accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone SCHIP","Stand-Alone SCHIP Charges"
649071,40018,"BAPTIST HEALTH MEDICAL CENTER - VB","EAST MAIN & SOUTH 20TH STREETS","VAN BUREN",AR,72956,"",22900,U,STH,1,2,11/01/2018,12/31/2018,13.62,"","",134,"",481,39,2379,"",49,"",168,"",134,"",481,39,2379,"",49,"",168,"",125,"",444,31,1891,"",49,"",168,"",159262,21057,21057,952278,1649629,132800,2669348,6008644,21299172,27307816,204435,"",952278,3000,"","",286659,"","",1997257,"",747024,896,196285,3228121,11000,"",3144543,"","",4148355,"","",7168957,"","","",10397078,713282,"","","","",3539400,4252682,"","","",5991294,5991294,10243976,153102,153102,10397078,"","",233214,"",6997,0.12,"","",6289807,21018010,27307817,24382307,2925510,2776630,148880,4222,153102,"",153102,0.09775,"","","",""
649407,100044,"MARTIN MEDICAL CENTER","200 HOSPITAL AVENUE",STUART,FL,34995,MARTIN,38940,U,STH,1,2,10/01/2018,12/31/2018,3191.75,"","",12524,1056,31535,521,47932,"",2741,266,26952,"",12524,1056,31535,521,47932,"",2741,266,26952,"",10945,761,26412,447,41124,"",2741,266,26952,5334134,11046666,8401251,11771030,53214888,70396564,10713115,110910856,385563561,349176942,734740503,10735835,"",51795877,670976,70251,"",-1276366,167232819,"",155062552,-95704766,10790068,4706818,41597276,284651846,23061785,22419756,329022148,"",78907744,356261841,"","",376180097,"",12262992,12262992,673094935,12400728,39698288,9704,7845000,"",1368455,61322175,"",293943607,"",59049934,352993541,414315716,258779219,258779219,673094935,"","",22718693,"",256153,0.0451,"","",385563560,362804137,748367697,620173940,128193757,123611452,4582305,-15211355,-10629050,"",-10629050,0.150952,4543107,52842459,61367,839609
650373,450090,"NORTH TEXAS MEDICAL CENTER","1900 HOSPITAL BOULEVARD",GAINSVILLE,TX,76240-,COOKE,99945,R,STH,1,11,10/01/2018,11/30/2018,168,"","",368,18,707,36,2074,"",86,2,175,"",1857,18,5205,36,2074,"",86,2,175,"",263,7,534,31,1708,"",86,2,175,112588,1824715,593966,594602,2505569,4270428,287577,5386933,6044770,14374988,20419758,373538,14900,2505569,167077,1480,"",7554343,"","",64704590,-60372810,420942,744224,1175736,20340422,1196029,256205,31196682,"",10242656,11003545,3770,3220211,22525387,"",1993364,1993364,44859173,754648,1194543,"",280960,"",390623,2620774,"","","",41380476,41380476,44001250,857923,857923,44859173,"","",714206,"","","","","",6638309,14729903,21368212,15333618,6034594,6775997,-741403,5322236,4580833,"",4580833,0.26381,841405,2189792,10063,26507
650435,40055,"BAPTIST HEALTH MEDICAL CENTER - FS","1001 TOWSON AVENUE","FORT SMITH",AR,72901,"",22900,U,STH,1,2,11/01/2018,12/31/2018,155.1,4.26,"",4020,"",9738,320,19520,"",840,"",2077,"",4316,"",10556,343,20923,"",872,"",2170,"",3652,"",9015,289,17629,"",840,"",2077,"",3304300,524684,524684,10427886,23977131,1256295,35451168,109472743,136078266,245551009,2331187,"",10427886,5200,"","",2773104,"","",23691063,"",7068867,303366,1411644,35248044,5450000,1138588,105434714,"","",12801220,"","",128156659,"","","",163404703,9158269,211906,"","","","",9370175,"","",154918411,"",154918411,164288586,-883883,-883883,163404703,"","",6180460,"",193603,0.1253,"",103986,110132941,135418068,245551009,209690308,35860701,37450285,-1589584,705701,-883883,"",-883883,0.144374,"","","",""
650479,201302,LINCOLNHEALTH,"6 ST. ANDREWS LANE","BOOTHBAY HARBOR",ME,04538-,LINCOLN,99920,R,CAH,1,2,10/01/2018,12/31/2018,362.19,"","",820,126,1793,25,9125,"",187,33,382,"",4097,2725,19312,67,24455,"",187,33,382,"",690,80,1377,21,7665,"",187,33,382,202374,1047204,851792,851792,6124146,15117362,928865,18206588,9440440,21196720,30637160,"","","","","","",4425475,"",591564,6985850,"",3294397,"","",23717347,2480754,5779808,62333238,630254,8436081,22873561,"","",46762120,12633553,3335454,15969007,86448474,1617780,2630412,"","",17032,1971307,17186883,"",9448243,"",3303566,12751809,29938692,56509782,56509782,86448474,"","","","","","","","",10567431,23595634,34163065,12768843,21394222,21973982,-579760,61805,-517955,"",-517955,0.594265,1692896,2070344,"",""
650482,201312,"WALDO COUNTY GENERAL HOSPITAL","118 NORTHPORT AVENUE",BELFAST,ME,04915,WALDO,99920,R,CAH,1,2,10/01/2018,12/31/2018,574.95,"","",655,107,1499,25,2300,"",132,38,312,"",1290,107,3794,25,2300,"",132,38,312,"",407,82,915,21,1932,"",132,38,312,318681,1457938,1169545,1169545,11464898,13269718,1273069,20562710,6594055,28862886,35456941,"","","","","","",6779946,59170587,"",32302907,-23462744,1395246,144772,232801,84234649,1014557,2670014,47183275,"",11141699,29373947,"","",37029893,28559373,10504515,39063888,160328430,2473824,5308848,"",496550,42083,-1152957,10556357,4139083,4342116,2530738,"",11011937,21568294,138760136,138760136,160328430,"","","","","","","","",7811551,32537398,40348949,15180054,25168895,24734616,434279,-2656807,-2222528,"",-2222528,0.579935,3056258,5419568,"",""
650826,201315,"STEPHENS MEMORIAL HOSPITAL - CAH","181 MAIN STREET",NORWAY,ME,04268,OXFORD,99920,R,CAH,1,2,10/01/2018,12/31/2018,345,0.29,"",482,180,1129,25,2300,"",140,65,343,"",3636,180,14458,25,2300,"",140,65,343,"",395,118,896,21,1932,"",140,65,343,145190,1864584,1315237,1315237,7964494,10916386,757142,17465580,5969359,23288733,29258092,"","","","","","",23551911,"","",5004222,"",1701644,"",4971280,35229057,1230517,3369568,14207874,10445025,4785584,27199577,"","",22432169,"",6428094,6428094,64089320,2800983,3147046,"","","",10148761,16096790,"",4539173,"",3499616,8038789,24135579,39953741,39953741,64089320,"","","","","","","","",7049894,26141179,33191073,14628240,18562833,18595097,-32264,263065,230801,"",230801,0.596949,2745279,3679143,"",""
651192,100105,"INDIAN RIVER MEMORIAL HOSPITA.L","1000 36TH STREET","VERO BEACH",FL,32960,"",42680,U,STH,1,2,10/01/2018,12/31/2018,1424.44,"","",5901,557,13293,310,28520,"",1504,238,3309,"",6389,590,14631,332,30544,"",1574,248,3578,"",5365,432,11633,286,26312,"",1504,238,3309,1200795,2628266,1885417,5358823,34118367,45091713,3131429,62668801,125543668,142461970,268005638,4853332,585818,34228663,1456326,37260,"",23200433,"","",105398685,-67840319,5350181,2958931,17793831,90160342,1631582,6461725,128609781,"",35551189,152118547,"","",98066131,3680336,9469534,13149870,201376343,12555418,9852057,"","","",11614072,34021547,"","","",23467506,23467506,57489053,143887290,143887290,201376343,"","",13650066,"",128993,0.0378,"","",131956801,167851870,299808671,230844062,68964609,79210080,-10245471,4401601,-5843870,"",-5843870,0.233834,2326773,22572410,"",""
651366,670126,"CROCKETT MEDICAL CENTER","1100 EAST LOOP 304",CROCKETT,TX,75835,HOUSTON,99945,U,STH,1,4,11/01/2018,01/31/2019,12.75,"","",27,"",137,25,2300,"",14,"",86,"",39,"",1310,25,2300,"",14,"",86,"",27,"",137,25,2300,"",14,"",86,"",3100562,704221,704221,967867,2286782,50543,2460359,934460,9898077,10832537,99503,5473,967867,"","","",-590,"","",8911316,-7307143,"","","",1596330,"","","","","",315656,"","",264581,"","","",1860911,276986,-1240,-37042,1743573,"","",1982277,"","","",285981,285981,2268258,-407347,-407347,1860911,"",67473,"","","","","","",935435,11263703,12199138,9726776,2472362,3254649,-782287,374940,-407347,"",-407347,0.227127,"","","",""
652728,450746,"KNOX COUNTY HOSPITAL","712 SOUTH FIFTH","KNOX CITY",TX,79529,"",99945,R,STH,1,9,10/01/2018,02/28/2019,40.73,"","",112,"",168,28,4200,"",28,"",40,"",3162,"",7900,28,4200,"",28,"",40,"",82,"",115,28,4200,"",28,"",40,13864,62594,27476,27476,2287991,6435536,109075,6679068,347221,35737482,36084703,71264,69803,2287991,11000,"","",8006964,"","",39555833,-704779,471639,32647,"",48050879,30625,"",4850634,"","",3257804,"","",3947440,"",8012,8012,52006331,127404,387205,-33467,"",14492,"",1221205,"","","","","",1221205,50785126,50785126,52006331,"","",114177,"","",0.35,"","",381991,35702712,36084703,17142174,18942529,8723527,10219002,2996371,13215373,"",13215373,0.185094,157688,428807,4228,20563
652883,250128,"PANOLA MEDICAL CENTER","303 MEDICAL CENTER DRIVE",BATESVILLE,MS,38606,PANOLA,99925,R,STH,1,2,01/01/2019,02/28/2019,248.23,"","",294,538,1530,45,2655,"",73,117,334,"",572,538,4576,67,3953,"",96,117,368,"",294,538,1530,45,2655,"",73,117,334,"",1850253,457790,457790,2423954,2971411,347544,5422521,5236845,16940619,22177464,256541,9153,2423954,"","","",200113,"","",26468375,-21475680,566124,327726,"",6086658,3377520,"",19661473,"","",3659508,"","",26449577,"",641530,641530,33177765,6715855,1173568,3724,871441,22265,3014818,11934329,"",20310858,"","",20310858,32245187,932578,932578,33177765,"",309798,"","",9294,0.12,40832,"",5565312,16612152,22177464,17292204,4885260,5395365,-510105,19032,-491073,"",-491073,0.244506,1253663,7225724,"",""
654144,260050,"SSM - ST. FRANCIS HOSPITAL","2016 SOUTH MAIN STREET",MARYVILLE,MO,64468,NODAWAY,99926,R,STH,1,2,01/01/2019,03/31/2019,66.88,"","",603,73,1149,38,3420,"",102,16,317,"",5234,1010,21183,52,4680,"",115,52,483,"",394,57,761,38,3420,"",102,16,317,484688,876753,1042569,1559104,7366568,10735462,168835,13079980,8210211,20392797,28603008,1530471,619071,7362058,217383,1705,"",3743518,"","",5693387,-4499156,7017,61965,"",14783647,"","","","","","","","","","",765091,765091,15548738,542494,41804,2142,"",765091,3205243,4556774,"",-22500,"","",-22500,4534274,11014464,11014464,15548738,"",668940,"","",15871,0.0949,"","",8574364,23223367,31797731,15854949,15942782,18102030,-2159248,2775337,616089,"",616089,0.457294,785327,3265422,"",""
654922,170014,"RANSOM MEMORIAL HOSPITAL","1301 SOUTH MAIN",OTTAWA,KS,66067-3598,FRANKLIN,99917,R,STH,1,9,01/01/2019,04/30/2019,102.36,"","",813,4,1434,47,5640,"",225,"",469,"",2807,4,6544,47,5640,"",225,"",469,"",789,"",1315,42,5040,"",225,"",469,86707,2574985,1439995,1827809,6951391,7869104,737198,10753669,7009590,26482085,33491675,1179840,75444,6951391,80000,"","",2347188,"","",17142043,-11398166,895081,383773,"",9727520,305206,373242,33157087,"","",18913948,"","",21211352,1239726,-220,1239506,32178378,1939956,2242198,"",306976,"",612633,5101763,"","","",-200,-200,5101563,27076815,27076815,32178378,"",1659197,"","",11075,0.0267,"","",7183479,28454292,35637771,19946735,15691036,14820495,870541,812042,1682583,1850171,-167588,0.321085,733877,3493439,"",""
655219,310086,"KENNEDY UNIVERSITY HOSPITAL","500 MARLBORO AVENUE","CHERRY HILL",NJ,08034,CAMDEN,15804,U,STH,1,2,01/01/2019,06/30/2019,3169.84,163.91,"",24651,3940,63080,522,94482,"",5156,599,13305,"",35735,3940,84156,522,94482,"",5156,599,13305,"",22401,3860,54553,455,82355,"",5156,599,13305,4007446,17059657,6927232,14498768,118201649,171505468,15981049,254444052,1208425312,604523749,1812949061,25481927,"",117141251,2054948,"",54586,36976433,222871803,"",106822366,"",11985648,"",4361626,383017876,15370000,6710112,451507472,"",10727570,88553178,"","",520065117,14843493,373910900,388754393,1291837386,55569463,22195195,"",1568587,315965,4166511,83815720,598758437,"","",58884000,657642437,741458157,550379229,550379229,1291837386,"",45047241,"","",1488811,0.1322,16233738,6840514,1208425315,604523750,1812949065,1519592972,293356093,289707117,3648976,50176099,53825075,"",53825075,0.140348,41079674,372262657,"",""
655330,420055,"MARION COUNTY MEDICAL CENTER","289 EAST HWY 76",MULLINS,SC,29574,MARION,99942,R,STH,5,4,10/01/2018,02/28/2019,115.63,"","",1345,155,2941,94,14194,"",323,31,744,"",1971,10396,15252,186,28086,"",323,31,744,"",1106,121,2473,84,12684,"",323,31,744,753988,4851848,1559894,2390109,5949098,29383678,1076626,14721171,36142785,57832930,93975715,1051835,"",5949098,346957,"","",-90451,"","",18291105,-11266282,1109485,272238,"",8316095,460146,1408253,9420072,6530045,4277294,3250248,4726441,"",15436453,"",-9329378,-9329378,14423170,3114777,1580536,"","","",73981,150582270,"","","","","",150582270,-136159100,-136159100,14423170,"","",2034039,"",48970,0.0963,793921,"",36142785,57832930,93975715,77018913,16956802,35332776,-18375974,106921,-18269053,"",-18269053,0.156649,1903483,17451105,"",""
655472,420036,"SPRINGS MEMORIAL HOSPITAL","800 WEST MEETING STREET",LANCASTER,SC,29720,LANCASTER,16740,R,STH,5,6,12/01/2018,02/28/2019,113.02,"","",1899,127,4554,166,14940,"",428,199,1135,"",3561,156,7428,215,19350,"",509,216,1266,"",1692,99,3877,146,13140,"",428,199,1135,1693048,14880255,3229675,5086810,8160637,46499168,166917,24771544,111527758,134074979,245602737,1595627,"",8160637,110142,"","",-1472175,"","",74449375,-64219724,3027182,903729,199602,12887989,41862,1991991,44380037,10585256,6336993,18301572,6243226,"",5163719,"",2150700,2150700,20202408,2371558,3453078,"",434671,"",367931,220133863,"",1459576,"",19634,1479210,221613073,-201410665,-201410665,20202408,"","",3123082,"",112197,0.1437,397657,"",111527759,134074979,245602738,222978393,22624345,54659805,-32035460,65673,-31969787,"",-31969787,0.10086,1527799,44387979,"",""
655591,420019,"CHESTER REGIONAL MEDICAL CENTER","ONE MEDICAL PARK DRIVE",CHESTER,SC,29706,CHESTER,16740,R,STH,5,4,10/01/2018,02/28/2019,47.75,"","",397,22,1163,36,5436,"",117,8,340,"",1316,22,2574,116,17516,"",117,8,340,"",397,22,1160,30,4530,"",117,8,340,931635,2760267,1691305,3782256,3702412,13617902,652448,16982320,19720067,42719004,62439071,411855,"",3702412,"","","",-406857,"","",10859834,-7037076,740054,346399,7025,4509379,552966,500000,11748645,2535557,38763,3595127,985261,"",11909179,"",1151313,1151313,17569871,435340,955015,97205,"","",80010,31230453,"","","","","",31230453,-13660582,-13660582,17569871,"","",824528,"",24736,0.12,648691,"",19720067,42719004,62439071,51907488,10531583,17320314,-6788731,30111,-6758620,"",-6758620,0.271982,1563433,13436126,"",""
655727,342017,"ASHEVILLE SPECIALTY HOSPITAL  LLC","428 BILTMORE AVENUE",ASHEVILLE,NC,28801,BUNCOMBE,11700,U,LTCH,2,4,10/01/2018,01/31/2019,32.37,"","",1808,"",3058,34,4182,"",64,"",104,"",1808,"",3058,34,4182,"",64,"",104,"",1808,"",3058,34,4182,"",64,"",104,"","","","",2151821,2424818,104864,5817495,13061584,"",13061584,"","","","","","",5762361,"","",6145591,-3780352,184161,163323,"",8533810,"","","",92612,"",1733361,"","",479851,"","","",9013661,1122104,489153,21497,"","","",1632908,"","","","","",1632908,7380753,7380753,9013661,"","","","","","","","",13061584,"",13061584,7506308,5555276,4576639,978637,54959,1033596,"",1033596,"","","","",""
656100,250042,"NORTHWEST MS MEDICAL CENTER","1970 HOSPITAL DRIVE",CLARKSDALE,MS,38614,COAHOMA,99925,R,STH,1,2,01/01/2019,05/31/2019,301.39,"","",2018,828,4737,181,27331,"",356,189,860,"",2018,828,4737,181,27331,"",356,189,860,"",1605,564,3428,171,25821,"",356,189,860,"",1850819,321910,854985,6515912,9247956,-64235,15357657,45863764,86844925,132708689,1747608,"",6515912,13237,"","","","","",40931908,-32042571,14812,366274,"",9270423,"","","","","",11196,"","",11196,"",93190,93190,9374809,1508841,"","","","",408200,1917041,"","","",5745882,5745882,7662923,1711886,1711886,9374809,"",2461255,"","",155675,0.253,174174,"",46747697,86182104,132929801,115629161,17300640,15763868,1536772,110246,1647018,"",1647018,0.115725,3808357,37515078,"",""
659247,140082,"LOUIS A. WEISS MEMORIAL HOSPITAL","4646 NORTH MARINE DRIVE",CHICAGO,IL,60640,COOK,16974,R,STH,1,4,01/28/2019,05/31/2019,307.34,82.82,"",3086,254,7983,119,14756,"",638,48,1754,"",4044,268,9611,144,17856,"",713,49,1887,"",2667,200,7005,103,12772,"",638,48,1754,657019,2532665,1287582,3042815,15504410,22098724,826065,31421130,115733494,93335297,209068791,2423092,"",15504410,179055,"",207151,3716262,"","",51292048,-34504299,3260024,754225,"",24886542,"","",14837,"","",6028062,"","",5216969,"","","",30103511,13244628,1765514,2703002,"","",-5511539,12201605,"",945561,"",6012257,6957818,19159423,10944088,10944088,30103511,"",6235501,"","",289016,0.1854,2248328,1980838,115733494,93660479,209393973,173701157,35692816,37603134,-1910318,293328,-1616990,"",-1616990,0.150291,5716982,53627473,"",""
659856,370018,"JANE PHILLIPS MEDICAL CENTER","3500 SE FRANK PHILLIPS BLVD",BARTLESVILLE,OK,74006-,WASHINGTON,99937,R,STH,1,2,10/01/2018,06/30/2019,463.64,2.22,"",5580,1375,10150,81,22113,"",1459,698,3146,"",7106,1540,12567,114,27246,"",1583,713,3341,"",4933,500,8054,73,19929,"",1459,698,3146,4120860,8404632,7637819,7944545,23499370,53394925,4226749,67453887,82462727,222807576,305270303,4455643,"",23499370,9483,"","",133875,"","",55862941,-43189711,2598813,397512,"",16881716,3413253,572793,35971013,2300,1573990,22489748,"","",37232233,-146802576,210236,-146592340,-92478391,2458217,2812096,130531,"","",10267817,15668661,"","","",805799,805799,16474460,-108952851,-108952851,-92478391,"","",13039143,"",195587,0.06,1280022,303969,82462728,222807576,305270304,220300110,84970194,76894295,8075899,3994919,12070818,21744,12049074,0.220964,4541563,25974006,"",""
660002,370227,"ST. JOHN OWASSO","12451 E. 100TH ST. NORTH",OWASSO,OK,74055,TULSA,46140,U,STH,1,1,01/01/2019,06/30/2019,154.71,"","",582,480,2192,32,5792,"",191,275,894,"",582,480,2192,32,5792,"",191,275,894,"",582,270,1798,32,5792,"",191,275,894,1071734,1887381,1957408,2164331,5002152,9332978,1108270,13896141,12958174,50886465,63844639,1078438,"",4959105,42087,"","",9858,"","",16128211,-11827348,629774,-1801,"",5746731,4675871,226204,30221660,"",9490178,6521467,"","",38358433,-33152568,157590,-32994978,11110186,500479,878106,36101,"","",2570520,3985206,"","","","","",3985206,7124980,7124980,11110186,"","",1186444,"",30937,0.1043,"","",12952404,50892233,63844637,46164988,17679649,14335130,3344519,125259,3469778,781,3468997,0.217656,985598,6837508,"",""
660464,450040,"COVENANT MEDICAL CENTER","3615 19TH ST",LUBBOCK,TX,79410,LUBBOCK,31180,U,STH,1,1,01/01/2019,06/30/2019,2113,8.02,"",21272,1937,49451,380,68780,"",3863,347,8977,"",21272,1937,49451,380,68780,"",3863,347,8977,"",14978,1703,34819,283,51223,"",3863,347,8977,14408637,1526104,22211245,22290433,68398208,133037246,12452915,192387590,1290665853,680297175,1970963028,8283144,"",68398208,876949,"","",6709512,"","",246877936,-176630949,8026512,"",61632233,146615244,13285891,20034577,335233876,"","",312975233,"","",270600551,"",27376526,27376526,444592321,13769650,9338487,"",11911119,"",21051944,61846496,"",-44867472,"",3363590,-41503882,20342614,424249707,424249707,444592321,"","",40273945,"",335281,0.0333,18000303,356344,1290665853,680297175,1970963028,1743596656,227366372,201435454,25930918,20275081,46205999,"",46205999,0.097611,12316478,157372778,50163,1325166
660651,340087,"THE MCDOWELL HOSPITAL","430 RANKIN DRIVE",MARION,NC,28752,"MC DOWELL",99934,R,STH,1,2,10/01/2018,01/31/2019,243.45,"","",931,496,2774,49,6027,"",213,179,679,"",5835,496,31541,49,6027,"",213,179,679,"",931,375,2636,40,4920,"",213,179,679,667120,6032153,2830989,3622343,6338867,15142503,1144907,20455594,13747857,63569890,77317747,916023,405805,6338867,"","","",4768302,"","",48966636,-37338684,1392947,3785,"",19506198,545873,382317,51894777,7393229,12792,14401230,"","",60221162,15000,935711,950711,80678071,800000,2790068,"","",356265,4965440,19282701,"",20639229,"",158333,20797562,40080263,40597808,40597808,80678071,"","",1375070,"",40427,0.1176,"","",13747856,65676735,79424591,55072442,24352149,21481370,2870779,2391710,5262489,"",5262489,0.264565,1914939,10229217,"",""
661241,344033,"WALTER B JONES LAKESIDE","2577 WEST FIFTH STREET",GREENVILLE,NC,27834,PITT,24780,U,PH,2,10,04/03/2019,06/30/2019,138,"","",15,"",2377,48,4272,"",2,"",218,"",15,"",2377,48,4272,"",2,"",218,"",15,"",2377,48,4272,"",2,"",218,"","","","",2308725,1789040,141496,4105956,2246773,"",2246773,"","",2308725,"","","","","","",36205,"",5411,"","",41616,10500,337663,2453616,"","",175740,3165,"",1814986,"","","",1856602,"","","","",36183,"",36183,"","","","","",36183,1820419,1820419,1856602,"","","","","","","","",29164,"",29164,"",29164,955682,-926518,7847,-918671,"",-918671,1.82749,"","","",""
661372,341316,"HIGHLANDS CASHIERS HOSPITAL","HIGHWAY 64E",HIGHLANDS,NC,28741-,MACON,99934,R,CAH,1,2,10/01/2018,01/31/2019,84.52,"","",706,10,1053,24,2952,"",45,5,77,"",960,10,3813,24,2952,"",45,5,77,"",123,10,201,24,2952,"",45,5,77,37501,683084,528132,627594,1926310,3193598,394819,5305943,1283280,8240647,9523927,"","","","","","",15936,"","",5464786,-3865655,544774,"","",16821850,1160240,2072412,15207985,"",3456477,-475963,"","",14972905,"",2452005,2452005,34246760,605690,429871,340,"","",3344001,6157913,"","","","","",6157913,28088847,28088847,34246760,"","","","","","","","",1283280,8588806,9872086,6055144,3816942,5119908,-1302966,2785450,1482484,"",1482484,0.557117,162586,470364,"",""
662038,140049,"WEST SUBURBAN HOSP MED CTR","3 ERIE COURT","OAK PARK",IL,60302,COOK,16974,U,STH,1,4,01/28/2019,04/30/2019,748.27,48.66,"",1770,510,6863,135,12555,"",392,91,1622,"",3062,510,8889,174,16182,"",392,91,1622,"",1409,177,4940,114,10602,"",392,91,1622,1327083,3251077,1917646,6126587,15056679,23035389,1523399,31810848,113202226,125129657,238331883,2955750,"",15056679,332696,"","",-871628,"","",66165259,-42107179,3814225,847084,"",31119022,"","","","","",6111643,"","",4741258,"","","",35860280,8704926,3768611,510942,"","",14434811,27419290,"","","",9335184,9335184,36754474,-894194,-894194,35860280,"",3812830,"","",305217,0.3202,2393867,773013,113202226,125129657,238331883,207268999,31062884,38092068,-7029184,359910,-6669274,"",-6669274,0.133473,3463291,73782466,"",""
662427,450032,"GOOD SHEPHERD MEDICAL CENTER","811 SOUTH WASHINGTON",MARSHALL,TX,75670,HARRISON,99945,U,STH,1,1,10/01/2018,06/30/2019,1900.79,35.85,"",16419,1586,50440,336,89999,"",4062,460,13924,"",19971,1646,55673,361,96824,"",4406,460,14397,"",13812,905,38915,263,70070,"",4062,460,13924,25408326,123360892,46135616,46697300,96177537,191522686,11948352,254999335,739285122,1059226135,1798511257,19547053,"",96177537,3162432,"","",40338489,"","",412614591,-382844558,8113863,2296640,"",87349563,11397380,3072298,155327385,2253795,26920478,56991407,"","",208132524,39495440,3395398,42890838,338372925,5795601,9875955,"",1909126,"",1613916,19194598,"",62425851,"",78579511,141005362,160199960,178172965,178172965,338372925,"","",33302074,"",1162243,0.1396,16850999,1826286,739285123,1059226290,1798511413,1499013995,299497418,287700223,11797195,7794102,19591297,14154,19577143,0.141784,24094833,218579269,596895,7910035
662852,453052,"KINDRED REHAB HOSPITAL CLEAR LAKE","655 E. MEDICAL CENTER BLVD.",WEBSTER,TX,77598,HARRIS,26420,U,RH,1,4,01/01/2019,07/31/2019,108.1,"","",3982,"",6176,60,12720,"",329,"",489,"",3982,"",6176,60,12720,"",329,"",489,"",3982,"",6176,60,12720,"",329,"",489,"","","","",4324738,4809518,158065,8588297,15204719,1315233,16519952,652344,"",4324738,52344,"","",2192,"","",4164944,-1210909,86000,229252,"",3274533,2170000,2055,"",2368199,"",892685,"","",4528347,"",2836389,2836389,10639269,586116,477959,22910,"","",679644,1766629,"","","",8804399,8804399,10571028,68241,68241,10639269,"","","","","","","","",15204719,1315233,16519952,6963824,9556128,9134256,421872,31133,453005,"",453005,"","","","",""
662979,450653,"SCENIC MOUNTAIN MEDICAL CENTER","1601 W 11TH PLACE","BIG SPRINGS",TX,79720-,HOWARD,99945,R,STH,1,4,01/01/2019,04/12/2019,251.55,"","",596,56,1830,75,7650,"",110,56,685,"",754,56,2411,95,9690,"",118,78,730,"",489,33,1510,67,6834,"",110,56,685,33457,6302297,1142725,1142725,7037390,10338953,602398,10829641,23465121,42553614,66018735,1041624,153495,7037390,80443,"","",22541,"","",17360510,-7712657,"","",34701,9705095,4281,"",110672,"","","","","",114953,"",-406893,-406893,9413155,839883,391881,1141,"","",154748,-3489088,"","","","","",-3489088,12902243,12902243,9413155,"",1141249,"","",22483,0.0788,"","",23462971,48188185,71651156,59920433,11730723,17376343,-5645620,121632,-5523988,"",-5523988,0.164039,"","","",""
